Training Start, luck bless me, plz!
{
    "output_model": "varmisuse",
Runing epoch 135 (validation), batch 45 (has 64 graphs). Loss so far: 0.4793
Runing epoch 135 (validation), batch 46 (has 64 graphs). Loss so far: 0.4908
Runing epoch 135 (validation), batch 47 (has 64 graphs). Loss so far: 0.5038
Runing epoch 135 (validation), batch 48 (has 64 graphs). Loss so far: 0.4945
Runing epoch 135 (validation), batch 49 (has 64 graphs). Loss so far: 0.5067
Runing epoch 135 (validation), batch 50 (has 64 graphs). Loss so far: 0.5130
Runing epoch 135 (validation), batch 51 (has 64 graphs). Loss so far: 0.5030
Runing epoch 135 (validation), batch 52 (has 64 graphs). Loss so far: 0.5217
Runing epoch 135 (validation), batch 53 (has 64 graphs). Loss so far: 0.5219
Runing epoch 135 (validation), batch 54 (has 64 graphs). Loss so far: 0.5143
Runing epoch 135 (validation), batch 55 (has 64 graphs). Loss so far: 0.5174
Runing epoch 135 (validation), batch 56 (has 64 graphs). Loss so far: 0.5117
Runing epoch 135 (validation), batch 57 (has 64 graphs). Loss so far: 0.5035
Runing epoch 135 (validation), batch 58 (has 64 graphs). Loss so far: 0.5033
Runing epoch 135 (validation), batch 59 (has 64 graphs). Loss so far: 0.4948
Runing epoch 135 (validation), batch 60 (has 64 graphs). Loss so far: 0.4871
Runing epoch 135 (validation), batch 61 (has 64 graphs). Loss so far: 0.4801
Runing epoch 135 (validation), batch 62 (has 64 graphs). Loss so far: 0.4758
Runing epoch 135 (validation), batch 63 (has 64 graphs). Loss so far: 0.4735
Runing epoch 135 (validation), batch 64 (has 64 graphs). Loss so far: 0.4880
Runing epoch 135 (validation), batch 65 (has 64 graphs). Loss so far: 0.4827
Runing epoch 135 (validation), batch 66 (has 64 graphs). Loss so far: 0.4754
Runing epoch 135 (validation), batch 67 (has 61 graphs). Loss so far: 0.4683

[K valid: loss: 0.46833 || Top1 0.747 Top2 0.956 Top3 0.989 Top4 1.000 Top5 1.000 || graphs/sec: 57.71 | nodes/sec: 2886 | graphs: 4285 | nodes: 214250 | lr: 0.001000
== Epoch 136
Runing epoch 136 (training), batch 1 (has 64 graphs). Loss so far: 0.1519
Runing epoch 136 (training), batch 2 (has 64 graphs). Loss so far: 0.0759
Runing epoch 136 (training), batch 3 (has 64 graphs). Loss so far: 0.1414
Runing epoch 136 (training), batch 4 (has 64 graphs). Loss so far: 0.2804
Runing epoch 136 (training), batch 5 (has 64 graphs). Loss so far: 0.2451
Runing epoch 136 (training), batch 6 (has 64 graphs). Loss so far: 0.3448
Runing epoch 136 (training), batch 7 (has 64 graphs). Loss so far: 0.5906
Runing epoch 136 (training), batch 8 (has 64 graphs). Loss so far: 0.5378
Runing epoch 136 (training), batch 9 (has 64 graphs). Loss so far: 0.5552
Runing epoch 136 (training), batch 10 (has 64 graphs). Loss so far: 0.5803
Runing epoch 136 (training), batch 11 (has 64 graphs). Loss so far: 0.5303
Runing epoch 136 (training), batch 12 (has 64 graphs). Loss so far: 0.4902
Runing epoch 136 (training), batch 13 (has 64 graphs). Loss so far: 0.4981
Runing epoch 136 (training), batch 14 (has 64 graphs). Loss so far: 0.4626
Runing epoch 136 (training), batch 15 (has 64 graphs). Loss so far: 0.4550
Runing epoch 136 (training), batch 16 (has 64 graphs). Loss so far: 0.4314
Runing epoch 136 (training), batch 17 (has 64 graphs). Loss so far: 0.4511
Runing epoch 136 (training), batch 18 (has 64 graphs). Loss so far: 0.4624
Runing epoch 136 (training), batch 19 (has 64 graphs). Loss so far: 0.4503
Runing epoch 136 (training), batch 20 (has 64 graphs). Loss so far: 0.4506
Runing epoch 136 (training), batch 21 (has 64 graphs). Loss so far: 0.4314
Runing epoch 136 (training), batch 22 (has 64 graphs). Loss so far: 0.4228
Runing epoch 136 (training), batch 23 (has 64 graphs). Loss so far: 0.4410
Runing epoch 136 (training), batch 24 (has 64 graphs). Loss so far: 0.4294
Runing epoch 136 (training), batch 25 (has 64 graphs). Loss so far: 0.4123
Runing epoch 136 (training), batch 26 (has 64 graphs). Loss so far: 0.3964
Runing epoch 136 (training), batch 27 (has 64 graphs). Loss so far: 0.3835
Runing epoch 136 (training), batch 28 (has 64 graphs). Loss so far: 0.3700
Runing epoch 136 (training), batch 29 (has 64 graphs). Loss so far: 0.3615
Runing epoch 136 (training), batch 30 (has 64 graphs). Loss so far: 0.3587
Runing epoch 136 (training), batch 31 (has 64 graphs). Loss so far: 0.3471
Runing epoch 136 (training), batch 32 (has 64 graphs). Loss so far: 0.3370
Runing epoch 136 (training), batch 33 (has 64 graphs). Loss so far: 0.3724
Runing epoch 136 (training), batch 34 (has 64 graphs). Loss so far: 0.3727
Runing epoch 136 (training), batch 35 (has 64 graphs). Loss so far: 0.4067
Runing epoch 136 (training), batch 36 (has 64 graphs). Loss so far: 0.3955
Runing epoch 136 (training), batch 37 (has 64 graphs). Loss so far: 0.3850
Runing epoch 136 (training), batch 38 (has 64 graphs). Loss so far: 0.3749
Runing epoch 136 (training), batch 39 (has 64 graphs). Loss so far: 0.3652
Runing epoch 136 (training), batch 40 (has 64 graphs). Loss so far: 0.3617
Runing epoch 136 (training), batch 41 (has 64 graphs). Loss so far: 0.3683
Runing epoch 136 (training), batch 42 (has 64 graphs). Loss so far: 0.3600
Runing epoch 136 (training), batch 43 (has 64 graphs). Loss so far: 0.3522
Runing epoch 136 (training), batch 44 (has 64 graphs). Loss so far: 0.3442
Runing epoch 136 (training), batch 45 (has 64 graphs). Loss so far: 0.3449
Runing epoch 136 (training), batch 46 (has 64 graphs). Loss so far: 0.3450
Runing epoch 136 (training), batch 47 (has 64 graphs). Loss so far: 0.3378
Runing epoch 136 (training), batch 48 (has 64 graphs). Loss so far: 0.3313
Runing epoch 136 (training), batch 49 (has 64 graphs). Loss so far: 0.3248
Runing epoch 136 (training), batch 50 (has 64 graphs). Loss so far: 0.3183
Runing epoch 136 (training), batch 51 (has 64 graphs). Loss so far: 0.3121
Runing epoch 136 (training), batch 52 (has 64 graphs). Loss so far: 0.3158
Runing epoch 136 (training), batch 53 (has 64 graphs). Loss so far: 0.3212
Runing epoch 136 (training), batch 54 (has 64 graphs). Loss so far: 0.3153
Runing epoch 136 (training), batch 55 (has 64 graphs). Loss so far: 0.3096
Runing epoch 136 (training), batch 56 (has 64 graphs). Loss so far: 0.3041
Runing epoch 136 (training), batch 57 (has 64 graphs). Loss so far: 0.3003
Runing epoch 136 (training), batch 58 (has 64 graphs). Loss so far: 0.2953
Runing epoch 136 (training), batch 59 (has 64 graphs). Loss so far: 0.2904
Runing epoch 136 (training), batch 60 (has 64 graphs). Loss so far: 0.2856
Runing epoch 136 (training), batch 61 (has 64 graphs). Loss so far: 0.2809
Runing epoch 136 (training), batch 62 (has 64 graphs). Loss so far: 0.2764
Runing epoch 136 (training), batch 63 (has 64 graphs). Loss so far: 0.2721
Runing epoch 136 (training), batch 64 (has 64 graphs). Loss so far: 0.2678
Runing epoch 136 (training), batch 65 (has 64 graphs). Loss so far: 0.2637
Runing epoch 136 (training), batch 66 (has 64 graphs). Loss so far: 0.2601
Runing epoch 136 (training), batch 67 (has 64 graphs). Loss so far: 0.2594
Runing epoch 136 (training), batch 68 (has 64 graphs). Loss so far: 0.2556
Runing epoch 136 (training), batch 69 (has 64 graphs). Loss so far: 0.2561
Runing epoch 136 (training), batch 70 (has 64 graphs). Loss so far: 0.2759
Runing epoch 136 (training), batch 71 (has 64 graphs). Loss so far: 0.2752
Runing epoch 136 (training), batch 72 (has 64 graphs). Loss so far: 0.2713
Runing epoch 136 (training), batch 73 (has 64 graphs). Loss so far: 0.2711
Runing epoch 136 (training), batch 74 (has 64 graphs). Loss so far: 0.2767
Runing epoch 136 (training), batch 75 (has 64 graphs). Loss so far: 0.2803
Runing epoch 136 (training), batch 76 (has 64 graphs). Loss so far: 0.3169
Runing epoch 136 (training), batch 77 (has 64 graphs). Loss so far: 0.3128
Runing epoch 136 (training), batch 78 (has 64 graphs). Loss so far: 0.3222
Runing epoch 136 (training), batch 79 (has 64 graphs). Loss so far: 0.3181
Runing epoch 136 (training), batch 80 (has 64 graphs). Loss so far: 0.3141
Runing epoch 136 (training), batch 81 (has 64 graphs). Loss so far: 0.3143
Runing epoch 136 (training), batch 82 (has 64 graphs). Loss so far: 0.3154
Runing epoch 136 (training), batch 83 (has 64 graphs). Loss so far: 0.3117
Runing epoch 136 (training), batch 84 (has 64 graphs). Loss so far: 0.3211
Runing epoch 136 (training), batch 85 (has 64 graphs). Loss so far: 0.3176
Runing epoch 136 (training), batch 86 (has 64 graphs). Loss so far: 0.3163
Runing epoch 136 (training), batch 87 (has 64 graphs). Loss so far: 0.3135
Runing epoch 136 (training), batch 88 (has 64 graphs). Loss so far: 0.3100
Runing epoch 136 (training), batch 89 (has 64 graphs). Loss so far: 0.3078
Runing epoch 136 (training), batch 90 (has 64 graphs). Loss so far: 0.3142
Runing epoch 136 (training), batch 91 (has 64 graphs). Loss so far: 0.3109
Runing epoch 136 (training), batch 92 (has 64 graphs). Loss so far: 0.3167
Runing epoch 136 (training), batch 93 (has 64 graphs). Loss so far: 0.3205
Runing epoch 136 (training), batch 94 (has 64 graphs). Loss so far: 0.3172
Runing epoch 136 (training), batch 95 (has 64 graphs). Loss so far: 0.3161
Runing epoch 136 (training), batch 96 (has 64 graphs). Loss so far: 0.3299
Runing epoch 136 (training), batch 97 (has 64 graphs). Loss so far: 0.3276
Runing epoch 136 (training), batch 98 (has 64 graphs). Loss so far: 0.3243
Runing epoch 136 (training), batch 99 (has 64 graphs). Loss so far: 0.3230
Runing epoch 136 (training), batch 100 (has 64 graphs). Loss so far: 0.3198
Runing epoch 136 (training), batch 101 (has 64 graphs). Loss so far: 0.3211
Runing epoch 136 (training), batch 102 (has 64 graphs). Loss so far: 0.3189
Runing epoch 136 (training), batch 103 (has 64 graphs). Loss so far: 0.3203
Runing epoch 136 (training), batch 104 (has 64 graphs). Loss so far: 0.3230
Runing epoch 136 (training), batch 105 (has 64 graphs). Loss so far: 0.3245
Runing epoch 136 (training), batch 106 (has 64 graphs). Loss so far: 0.3284
Runing epoch 136 (training), batch 107 (has 64 graphs). Loss so far: 0.3269
Runing epoch 136 (training), batch 108 (has 64 graphs). Loss so far: 0.3239
Runing epoch 136 (training), batch 109 (has 64 graphs). Loss so far: 0.3214
Runing epoch 136 (training), batch 110 (has 64 graphs). Loss so far: 0.3196
Runing epoch 136 (training), batch 111 (has 64 graphs). Loss so far: 0.3167
Runing epoch 136 (training), batch 112 (has 64 graphs). Loss so far: 0.3141
Runing epoch 136 (training), batch 113 (has 64 graphs). Loss so far: 0.3114
Runing epoch 136 (training), batch 114 (has 64 graphs). Loss so far: 0.3115
Runing epoch 136 (training), batch 115 (has 64 graphs). Loss so far: 0.3088
Runing epoch 136 (training), batch 116 (has 64 graphs). Loss so far: 0.3076
Runing epoch 136 (training), batch 117 (has 64 graphs). Loss so far: 0.3053
Runing epoch 136 (training), batch 118 (has 64 graphs). Loss so far: 0.3027
Runing epoch 136 (training), batch 119 (has 64 graphs). Loss so far: 0.3002
Runing epoch 136 (training), batch 120 (has 64 graphs). Loss so far: 0.2977
Runing epoch 136 (training), batch 121 (has 64 graphs). Loss so far: 0.2953
Runing epoch 136 (training), batch 122 (has 64 graphs). Loss so far: 0.2957
Runing epoch 136 (training), batch 123 (has 64 graphs). Loss so far: 0.2936
Runing epoch 136 (training), batch 124 (has 64 graphs). Loss so far: 0.2925
Runing epoch 136 (training), batch 125 (has 64 graphs). Loss so far: 0.2905
Runing epoch 136 (training), batch 126 (has 64 graphs). Loss so far: 0.2883
Runing epoch 136 (training), batch 127 (has 64 graphs). Loss so far: 0.2877
Runing epoch 136 (training), batch 128 (has 64 graphs). Loss so far: 0.3105
Runing epoch 136 (training), batch 129 (has 64 graphs). Loss so far: 0.3081
Runing epoch 136 (training), batch 130 (has 64 graphs). Loss so far: 0.3221
Runing epoch 136 (training), batch 131 (has 64 graphs). Loss so far: 0.3197
Runing epoch 136 (training), batch 132 (has 64 graphs). Loss so far: 0.3264
Runing epoch 136 (training), batch 133 (has 64 graphs). Loss so far: 0.3239
Runing epoch 136 (training), batch 134 (has 64 graphs). Loss so far: 0.3215
Runing epoch 136 (training), batch 135 (has 64 graphs). Loss so far: 0.3199
Runing epoch 136 (training), batch 136 (has 64 graphs). Loss so far: 0.3178
Runing epoch 136 (training), batch 137 (has 64 graphs). Loss so far: 0.3227
Runing epoch 136 (training), batch 138 (has 64 graphs). Loss so far: 0.3215
Runing epoch 136 (training), batch 139 (has 64 graphs). Loss so far: 0.3192
Runing epoch 136 (training), batch 140 (has 64 graphs). Loss so far: 0.3172
Runing epoch 136 (training), batch 141 (has 64 graphs). Loss so far: 0.3150
Runing epoch 136 (training), batch 142 (has 64 graphs). Loss so far: 0.3166
Runing epoch 136 (training), batch 143 (has 64 graphs). Loss so far: 0.3147
Runing epoch 136 (training), batch 144 (has 64 graphs). Loss so far: 0.3181
Runing epoch 136 (training), batch 145 (has 64 graphs). Loss so far: 0.3217
Runing epoch 136 (training), batch 146 (has 64 graphs). Loss so far: 0.3207
Runing epoch 136 (training), batch 147 (has 64 graphs). Loss so far: 0.3185
Runing epoch 136 (training), batch 148 (has 64 graphs). Loss so far: 0.3165
Runing epoch 136 (training), batch 149 (has 64 graphs). Loss so far: 0.3204
Runing epoch 136 (training), batch 150 (has 64 graphs). Loss so far: 0.3183
Runing epoch 136 (training), batch 151 (has 64 graphs). Loss so far: 0.3237
Runing epoch 136 (training), batch 152 (has 64 graphs). Loss so far: 0.3241
Runing epoch 136 (training), batch 153 (has 42 graphs). Loss so far: 0.3257

[K Train: loss: 0.32567 || Top1 0.859 Top2 0.986 Top3 0.995 Top4 0.999 Top5 1.000 || graphs/sec: 26.46 | nodes/sec: 1323 | graphs: 9770 | nodes: 488500 | lr: 0.001000
Runing epoch 136 (validation), batch 1 (has 64 graphs). Loss so far: 0.7238
Runing epoch 136 (validation), batch 2 (has 64 graphs). Loss so far: 1.2214
Runing epoch 136 (validation), batch 3 (has 64 graphs). Loss so far: 0.8152
Runing epoch 136 (validation), batch 4 (has 64 graphs). Loss so far: 0.6115
Runing epoch 136 (validation), batch 5 (has 64 graphs). Loss so far: 0.4892
Runing epoch 136 (validation), batch 6 (has 64 graphs). Loss so far: 0.4078
Runing epoch 136 (validation), batch 7 (has 64 graphs). Loss so far: 0.3496
Runing epoch 136 (validation), batch 8 (has 64 graphs). Loss so far: 0.3256
Runing epoch 136 (validation), batch 9 (has 64 graphs). Loss so far: 0.2931
Runing epoch 136 (validation), batch 10 (has 64 graphs). Loss so far: 0.2638
Runing epoch 136 (validation), batch 11 (has 64 graphs). Loss so far: 0.2399
Runing epoch 136 (validation), batch 12 (has 64 graphs). Loss so far: 0.3466
Runing epoch 136 (validation), batch 13 (has 64 graphs). Loss so far: 0.3199
Runing epoch 136 (validation), batch 14 (has 64 graphs). Loss so far: 0.3327
Runing epoch 136 (validation), batch 15 (has 64 graphs). Loss so far: 0.3105
Runing epoch 136 (validation), batch 16 (has 64 graphs). Loss so far: 0.3069
Runing epoch 136 (validation), batch 17 (has 64 graphs). Loss so far: 0.3312
Runing epoch 136 (validation), batch 18 (has 64 graphs). Loss so far: 0.3128
Runing epoch 136 (validation), batch 19 (has 64 graphs). Loss so far: 0.3217
Runing epoch 136 (validation), batch 20 (has 64 graphs). Loss so far: 0.3065
Runing epoch 136 (validation), batch 21 (has 64 graphs). Loss so far: 0.3012
Runing epoch 136 (validation), batch 22 (has 64 graphs). Loss so far: 0.3044
Runing epoch 136 (validation), batch 23 (has 64 graphs). Loss so far: 0.3385
Runing epoch 136 (validation), batch 24 (has 64 graphs). Loss so far: 0.3245
Runing epoch 136 (validation), batch 25 (has 64 graphs). Loss so far: 0.3373
Runing epoch 136 (validation), batch 26 (has 64 graphs). Loss so far: 0.3243
Runing epoch 136 (validation), batch 27 (has 64 graphs). Loss so far: 0.3267
Runing epoch 136 (validation), batch 28 (has 64 graphs). Loss so far: 0.3150
Runing epoch 136 (validation), batch 29 (has 64 graphs). Loss so far: 0.3456
Runing epoch 136 (validation), batch 30 (has 64 graphs). Loss so far: 0.3608
Runing epoch 136 (validation), batch 31 (has 64 graphs). Loss so far: 0.4219
Runing epoch 136 (validation), batch 32 (has 64 graphs). Loss so far: 0.4680
Runing epoch 136 (validation), batch 33 (has 64 graphs). Loss so far: 0.4540
Runing epoch 136 (validation), batch 34 (has 64 graphs). Loss so far: 0.4836
Runing epoch 136 (validation), batch 35 (has 64 graphs). Loss so far: 0.4899
Runing epoch 136 (validation), batch 36 (has 64 graphs). Loss so far: 0.4764
Runing epoch 136 (validation), batch 37 (has 64 graphs). Loss so far: 0.4760
Runing epoch 136 (validation), batch 38 (has 64 graphs). Loss so far: 0.4652
Runing epoch 136 (validation), batch 39 (has 64 graphs). Loss so far: 0.4712
Runing epoch 136 (validation), batch 40 (has 64 graphs). Loss so far: 0.4597
Runing epoch 136 (validation), batch 41 (has 64 graphs). Loss so far: 0.4498
Runing epoch 136 (validation), batch 42 (has 64 graphs). Loss so far: 0.4436
Runing epoch 136 (validation), batch 43 (has 64 graphs). Loss so far: 0.4715
Runing epoch 136 (validation), batch 44 (has 64 graphs). Loss so far: 0.5037
Runing epoch 136 (validation), batch 45 (has 64 graphs). Loss so far: 0.5126
Runing epoch 136 (validation), batch 46 (has 64 graphs). Loss so far: 0.5201
Runing epoch 136 (validation), batch 47 (has 64 graphs). Loss so far: 0.5400
Runing epoch 136 (validation), batch 48 (has 64 graphs). Loss so far: 0.5299
Runing epoch 136 (validation), batch 49 (has 64 graphs). Loss so far: 0.5449
Runing epoch 136 (validation), batch 50 (has 64 graphs). Loss so far: 0.5527
Runing epoch 136 (validation), batch 51 (has 64 graphs). Loss so far: 0.5419
Runing epoch 136 (validation), batch 52 (has 64 graphs). Loss so far: 0.5966
Runing epoch 136 (validation), batch 53 (has 64 graphs). Loss so far: 0.5949
Runing epoch 136 (validation), batch 54 (has 64 graphs). Loss so far: 0.5873
Runing epoch 136 (validation), batch 55 (has 64 graphs). Loss so far: 0.5898
Runing epoch 136 (validation), batch 56 (has 64 graphs). Loss so far: 0.5857
Runing epoch 136 (validation), batch 57 (has 64 graphs). Loss so far: 0.5754
Runing epoch 136 (validation), batch 58 (has 64 graphs). Loss so far: 0.5719
Runing epoch 136 (validation), batch 59 (has 64 graphs). Loss so far: 0.5622
Runing epoch 136 (validation), batch 60 (has 64 graphs). Loss so far: 0.5529
Runing epoch 136 (validation), batch 61 (has 64 graphs). Loss so far: 0.5440
Runing epoch 136 (validation), batch 62 (has 64 graphs). Loss so far: 0.5380
Runing epoch 136 (validation), batch 63 (has 64 graphs). Loss so far: 0.5414
Runing epoch 136 (validation), batch 64 (has 64 graphs). Loss so far: 0.5467
Runing epoch 136 (validation), batch 65 (has 64 graphs). Loss so far: 0.5398
Runing epoch 136 (validation), batch 66 (has 64 graphs). Loss so far: 0.5316
Runing epoch 136 (validation), batch 67 (has 61 graphs). Loss so far: 0.5237

[K valid: loss: 0.52371 || Top1 0.735 Top2 0.956 Top3 0.989 Top4 1.000 Top5 1.000 || graphs/sec: 59.28 | nodes/sec: 2964 | graphs: 4285 | nodes: 214250 | lr: 0.001000
== Epoch 137
Runing epoch 137 (training), batch 1 (has 64 graphs). Loss so far: 0.1808
Runing epoch 137 (training), batch 2 (has 64 graphs). Loss so far: 0.0989
Runing epoch 137 (training), batch 3 (has 64 graphs). Loss so far: 0.0659
Runing epoch 137 (training), batch 4 (has 64 graphs). Loss so far: 0.3689
Runing epoch 137 (training), batch 5 (has 64 graphs). Loss so far: 1.1755
Runing epoch 137 (training), batch 6 (has 64 graphs). Loss so far: 0.9802
Runing epoch 137 (training), batch 7 (has 64 graphs). Loss so far: 0.8585
Runing epoch 137 (training), batch 8 (has 64 graphs). Loss so far: 0.7822
Runing epoch 137 (training), batch 9 (has 64 graphs). Loss so far: 0.6965
Runing epoch 137 (training), batch 10 (has 64 graphs). Loss so far: 0.6613
Runing epoch 137 (training), batch 11 (has 64 graphs). Loss so far: 0.6877
Runing epoch 137 (training), batch 12 (has 64 graphs). Loss so far: 0.6304
Runing epoch 137 (training), batch 13 (has 64 graphs). Loss so far: 0.6099
Runing epoch 137 (training), batch 14 (has 64 graphs). Loss so far: 0.5994
Runing epoch 137 (training), batch 15 (has 64 graphs). Loss so far: 0.5726
Runing epoch 137 (training), batch 16 (has 64 graphs). Loss so far: 0.5372
Runing epoch 137 (training), batch 17 (has 64 graphs). Loss so far: 0.5056
Runing epoch 137 (training), batch 18 (has 64 graphs). Loss so far: 0.5011
Runing epoch 137 (training), batch 19 (has 64 graphs). Loss so far: 0.4747
Runing epoch 137 (training), batch 20 (has 64 graphs). Loss so far: 0.4511
Runing epoch 137 (training), batch 21 (has 64 graphs). Loss so far: 0.4872
Runing epoch 137 (training), batch 22 (has 64 graphs). Loss so far: 0.4998
Runing epoch 137 (training), batch 23 (has 64 graphs). Loss so far: 0.4959
Runing epoch 137 (training), batch 24 (has 64 graphs). Loss so far: 0.5247
Runing epoch 137 (training), batch 25 (has 64 graphs). Loss so far: 0.5292
Runing epoch 137 (training), batch 26 (has 64 graphs). Loss so far: 0.5088
Runing epoch 137 (training), batch 27 (has 64 graphs). Loss so far: 0.4904
Runing epoch 137 (training), batch 28 (has 64 graphs). Loss so far: 0.4764
Runing epoch 137 (training), batch 29 (has 64 graphs). Loss so far: 0.4705
Runing epoch 137 (training), batch 30 (has 64 graphs). Loss so far: 0.4549
Runing epoch 137 (training), batch 31 (has 64 graphs). Loss so far: 0.5371
Runing epoch 137 (training), batch 32 (has 64 graphs). Loss so far: 0.5204
Runing epoch 137 (training), batch 33 (has 64 graphs). Loss so far: 0.5457
Runing epoch 137 (training), batch 34 (has 64 graphs). Loss so far: 0.5494
Runing epoch 137 (training), batch 35 (has 64 graphs). Loss so far: 0.5375
Runing epoch 137 (training), batch 36 (has 64 graphs). Loss so far: 0.5331
Runing epoch 137 (training), batch 37 (has 64 graphs). Loss so far: 0.5308
Runing epoch 137 (training), batch 38 (has 64 graphs). Loss so far: 0.5362
Runing epoch 137 (training), batch 39 (has 64 graphs). Loss so far: 0.5229
Runing epoch 137 (training), batch 40 (has 64 graphs). Loss so far: 0.6119
Runing epoch 137 (training), batch 41 (has 64 graphs). Loss so far: 0.6293
Runing epoch 137 (training), batch 42 (has 64 graphs). Loss so far: 0.6185
Runing epoch 137 (training), batch 43 (has 64 graphs). Loss so far: 0.6074
Runing epoch 137 (training), batch 44 (has 64 graphs). Loss so far: 0.5948
Runing epoch 137 (training), batch 45 (has 64 graphs). Loss so far: 0.5849
Runing epoch 137 (training), batch 46 (has 64 graphs). Loss so far: 0.5810
Runing epoch 137 (training), batch 47 (has 64 graphs). Loss so far: 0.5689
Runing epoch 137 (training), batch 48 (has 64 graphs). Loss so far: 0.5619
Runing epoch 137 (training), batch 49 (has 64 graphs). Loss so far: 0.5518
Runing epoch 137 (training), batch 50 (has 64 graphs). Loss so far: 0.5563
Runing epoch 137 (training), batch 51 (has 64 graphs). Loss so far: 0.5573
Runing epoch 137 (training), batch 52 (has 64 graphs). Loss so far: 0.5510
Runing epoch 137 (training), batch 53 (has 64 graphs). Loss so far: 0.5627
Runing epoch 137 (training), batch 54 (has 64 graphs). Loss so far: 0.5533
Runing epoch 137 (training), batch 55 (has 64 graphs). Loss so far: 0.5559
Runing epoch 137 (training), batch 56 (has 64 graphs). Loss so far: 0.5461
Runing epoch 137 (training), batch 57 (has 64 graphs). Loss so far: 0.5392
Runing epoch 137 (training), batch 58 (has 64 graphs). Loss so far: 0.5388
Runing epoch 137 (training), batch 59 (has 64 graphs). Loss so far: 0.5441
Runing epoch 137 (training), batch 60 (has 64 graphs). Loss so far: 0.5514
Runing epoch 137 (training), batch 61 (has 64 graphs). Loss so far: 0.5528
Runing epoch 137 (training), batch 62 (has 64 graphs). Loss so far: 0.5438
Runing epoch 137 (training), batch 63 (has 64 graphs). Loss so far: 0.5415
Runing epoch 137 (training), batch 64 (has 64 graphs). Loss so far: 0.5358
Runing epoch 137 (training), batch 65 (has 64 graphs). Loss so far: 0.5537
Runing epoch 137 (training), batch 66 (has 64 graphs). Loss so far: 0.5708
Runing epoch 137 (training), batch 67 (has 64 graphs). Loss so far: 0.5734
Runing epoch 137 (training), batch 68 (has 64 graphs). Loss so far: 0.5650
Runing epoch 137 (training), batch 69 (has 64 graphs). Loss so far: 0.5593
Runing epoch 137 (training), batch 70 (has 64 graphs). Loss so far: 0.5562
Runing epoch 137 (training), batch 71 (has 64 graphs). Loss so far: 0.5513
Runing epoch 137 (training), batch 72 (has 64 graphs). Loss so far: 0.5436
Runing epoch 137 (training), batch 73 (has 64 graphs). Loss so far: 0.5442
Runing epoch 137 (training), batch 74 (has 64 graphs). Loss so far: 0.5413
Runing epoch 137 (training), batch 75 (has 64 graphs). Loss so far: 0.5378
Runing epoch 137 (training), batch 76 (has 64 graphs). Loss so far: 0.5311
Runing epoch 137 (training), batch 77 (has 64 graphs). Loss so far: 0.5325
Runing epoch 137 (training), batch 78 (has 64 graphs). Loss so far: 0.5282
Runing epoch 137 (training), batch 79 (has 64 graphs). Loss so far: 0.5222
Runing epoch 137 (training), batch 80 (has 64 graphs). Loss so far: 0.5210
Runing epoch 137 (training), batch 81 (has 64 graphs). Loss so far: 0.5159
Runing epoch 137 (training), batch 82 (has 64 graphs). Loss so far: 0.5100
Runing epoch 137 (training), batch 83 (has 64 graphs). Loss so far: 0.5040
Runing epoch 137 (training), batch 84 (has 64 graphs). Loss so far: 0.5023
Runing epoch 137 (training), batch 85 (has 64 graphs). Loss so far: 0.4967
Runing epoch 137 (training), batch 86 (has 64 graphs). Loss so far: 0.5041
Runing epoch 137 (training), batch 87 (has 64 graphs). Loss so far: 0.5042
Runing epoch 137 (training), batch 88 (has 64 graphs). Loss so far: 0.5091
Runing epoch 137 (training), batch 89 (has 64 graphs). Loss so far: 0.5064
Runing epoch 137 (training), batch 90 (has 64 graphs). Loss so far: 0.5008
Runing epoch 137 (training), batch 91 (has 64 graphs). Loss so far: 0.5027
Runing epoch 137 (training), batch 92 (has 64 graphs). Loss so far: 0.4974
Runing epoch 137 (training), batch 93 (has 64 graphs). Loss so far: 0.4921
Runing epoch 137 (training), batch 94 (has 64 graphs). Loss so far: 0.4877
Runing epoch 137 (training), batch 95 (has 64 graphs). Loss so far: 0.4942
Runing epoch 137 (training), batch 96 (has 64 graphs). Loss so far: 0.4920
Runing epoch 137 (training), batch 97 (has 64 graphs). Loss so far: 0.4910
Runing epoch 137 (training), batch 98 (has 64 graphs). Loss so far: 0.4871
Runing epoch 137 (training), batch 99 (has 64 graphs). Loss so far: 0.4838
Runing epoch 137 (training), batch 100 (has 64 graphs). Loss so far: 0.4789
Runing epoch 137 (training), batch 101 (has 64 graphs). Loss so far: 0.4809
Runing epoch 137 (training), batch 102 (has 64 graphs). Loss so far: 0.4813
Runing epoch 137 (training), batch 103 (has 64 graphs). Loss so far: 0.4767
Runing epoch 137 (training), batch 104 (has 64 graphs). Loss so far: 0.4722
Runing epoch 137 (training), batch 105 (has 64 graphs). Loss so far: 0.4695
Runing epoch 137 (training), batch 106 (has 64 graphs). Loss so far: 0.4651
Runing epoch 137 (training), batch 107 (has 64 graphs). Loss so far: 0.4635
Runing epoch 137 (training), batch 108 (has 64 graphs). Loss so far: 0.4599
Runing epoch 137 (training), batch 109 (has 64 graphs). Loss so far: 0.4557
Runing epoch 137 (training), batch 110 (has 64 graphs). Loss so far: 0.4556
Runing epoch 137 (training), batch 111 (has 64 graphs). Loss so far: 0.4515
Runing epoch 137 (training), batch 112 (has 64 graphs). Loss so far: 0.4499
Runing epoch 137 (training), batch 113 (has 64 graphs). Loss so far: 0.4460
